행 레이블,평균 : 총_유동인구_수
1000818,4325347.167
1000819,3963349.667
1000820,6684083.75
1000821,9283225.583
1000822,4277705.5
1000823,7909081.083
1000824,7931077.083
1000825,4092622.167
1000826,4393832.083
1000827,6165819.5
1000828,5344102.583
1000829,6140221
1000830,4769727.167
1000831,5334580.917
1000832,8839402.417
1000833,6484665.167
1000834,7693709.833
1000835,5696039.75
1000836,7920045.833
1000837,8300040.083
1000838,8262940.333
1000839,8642208.5
1000840,3509164.583
1000841,3981933.583
1000842,3065019.167
1000843,6174448.167
1000844,1309665.5
1000845,3570251.667
1000846,3063992.333
1000847,2712900.833
1000848,3423197.333
1000849,3276593.167
1000850,2873259.75
1000851,3231076.833
1000852,2829834.75
1000853,6205223.167
1000854,4795463.333
1000855,3042549.167
1000856,2910698
1000857,3456122.583
1000858,4095241
1000859,2411291.167
1000860,3394575.667
1000861,2743774.667
1000862,3539491.583
1000863,4697207.833
1000864,3446454.5
1000865,4822752.083
1000866,3160416.25
1000867,2034667.917
1000868,5245880.083
1000869,4146798.083
1000870,4240881.917
1000871,4927083.417
1000872,5140224.667
1000873,3757747.25
1000874,3630287.5
1000875,4544472.583
1000876,2626591.583
1000877,5015683.667
1000878,5466516.083
1000879,4914449.917
1000880,3921163.583
1000881,4195359.5
1000882,2125579.5
1000883,3418362.333
1000884,4802224.75
1000885,4572363.833
1000886,4986169.25
1000887,4442371.917
1000888,3483039.333
1000889,2958422.167
1000890,3657830.667
1000891,2708610.833
1000892,530108.6667
1000893,4082868.583
1000894,4097824.917
1000895,3282049.417
1000896,6141022.25
1000897,3893964.417
1000898,3866086.667
1000899,3640236.667
1000900,2959838.167
1000901,2908223.583
1000902,4563508.167
1000903,2043604.083
1000904,5834180.833
1000905,3833276.417
1000906,3724171.25
1000907,2769946.333
1000908,2447211.917
1000909,4433704.75
1000910,2747089.583
1000911,2745646.25
1000912,2344229.25
1000913,5770237.25
1000914,5901811.5
1000915,3861248.667
1000916,3636416.5
1000917,3813418.667
1000918,3798715.25
1000919,4915209.25
1000920,5997671.167
1000921,4063309.417
1000922,6491483.167
1000923,7035391.417
1000924,5154405.417
1000925,6463830.167
1000926,4879164.75
1000927,4129592.083
1000928,904623.0833
1000929,3624966.333
1000930,6450499.333
1000931,2040623.25
1000932,4501019.917
1000933,3932811.083
1000934,3689494
1000935,2746628.667
1000936,3528518.167
1000937,6106806.5
1000938,4505320.833
1000939,3835655.417
1000940,5446002.75
1000941,5168338.417
1000942,4880839.25
1000943,5703630.25
1000944,4163048.333
1000945,6933846.417
1000946,4225079
1000947,5595576.167
1000948,4906133.583
1000949,4422054.5
1000950,4468625.75
1000951,5982752.5
1000952,5094669.417
1000953,5556936.333
1000954,8173840.75
1000955,4804825.583
1000956,5881164.417
1000957,4429922.25
1000958,4378100.167
1000959,3486631.25
1000960,5350426.667
1000961,3704817.5
1000962,3301111
1000963,6774616.25
1000964,4262782.583
1000965,5409374.417
1000966,6643081.75
1000967,4109559.667
1000968,5741648.5
1000969,2231039.167
1000970,1612554.5
1000971,8388915.083
1000972,10792763.67
1000973,13242954.33
1000974,1128285.5
1000975,781871.5833
1000976,1540819.583
1000977,6431080.5
1000978,6685249
1000979,5396490.083
1000980,6059121.167
1000981,5098168.75
1000982,1323141.5
1000983,8721562.417
1000984,4585495.417
1000985,10469450.5
1000986,9968386.417
1000987,5575767.25
1000988,7912902.083
1000989,10197249.92
1000990,6907725.667
1000991,9079373.75
1000992,6291962.25
1000993,3753349.167
1000994,5107440.75
1000995,5102497.417
1000996,4028259.917
1000997,4333288.5
1000998,7761977.417
1000999,10814534.58
1001000,6274412.417
1001001,10204443.58
1001002,8392308.583
1001003,10125685.08
1001004,10996742.33
1001005,6742940.417
1001006,5845555.583
1001007,1198691
1001008,7631874.667
1001009,9094053.75
1001010,10031555.58
