행 레이블,평균 : 당월_매출_금액,평균 : 총_유동인구_수,평균 : 월_평균_소득_금액,평균 : 지출_총금액,상권_변화_지표
1000339,1747109472,6883094.333,2679785,7828168950,HL
1000340,613348725.9,4730376.333,3503535,6132983422,LL
1000341,164145758.9,5330084.917,2885119,6842927296,HL
1000342,1694480831,6518828.75,2675047,6829363406,LL
1000343,317958728.7,5127816.333,2628325,8481707929,LL
1000344,346948342.8,5235882.583,3023041,9257218176,LL
1000345,221200362.3,2282076.083,2843606,6491868349,LH
1000346,486274492.3,3813406.667,2715512,6848368302,LL
1000347,800298524.8,5913241.417,2898498,6763357806,LL
1000348,708283081.1,6229327.5,3231952,6986064218,LL
1000349,1213154524,7323544.167,3218768,7371928407,LL
1000350,1251975597,5969635.167,2615827,5345691956,LL
1000351,1085328560,5554450.75,3253551,6565580637,LL
1000352,1090417138,8218698.667,2887299,9394502368,HL
1000353,876121775.9,3199056.25,4036274,5877431743,LL
1000354,474334693.8,5000887.5,2704886,7761526817,LL
1000355,567960308.7,4705063.083,2716671,8584754175,LL
1000356,619734512.1,4521614.167,2598099,8875320205,LL
1000357,785620510,4420346.667,2691844,8394862791,LL
1000358,840103299.1,3992279,2779465,7797139710,LL
1000359,990579125.5,7296591.583,3185975,8871331346,LL
1000360,996117896.4,9103199.25,2890532,9737440743,LL
1000361,602398219,4013260.917,2806763,6983013259,HL
1000362,650990636.8,5086609.75,2916491,8782892806,LL
1000363,296565430.3,1922930.583,2535737,6042916863,LL
1000364,322127294.6,1815503.667,2949403,6085974961,LL
1000365,236827534,1510716.417,2992060,4598302190,LL
1000366,732014199.7,1980085.917,3259788,5466217765,HH
1000367,1408995980,375469.8333,2977069,1691273336,LH
1000368,811049877,1287376.667,3282833,3844119340,LH
1000369,716023707.7,3753472.833,2838948,7492617686,LL
1000370,366924567.1,2177367.167,3483774,5493588675,LL
1000371,840957887.2,5802161.75,2933044,8843762781,LL
1000372,781790227.3,5412446.583,2900760,8713999595,HL
1000373,310298940.8,2180797.667,3195408,3391471772,LL
1000374,744046926.9,2045084.167,2487690,5831185722,HL
1000375,219155413.1,3872237.167,3262082,6514673106,LL
1000376,433098483.2,4931572.75,2456067,7762893073,LH
1000377,651157151.4,4823754.667,3833480,8615763217,LL
1000378,408955116.3,1727677.25,3776885,3773158254,LL
1000379,795488462.7,6652590.417,3075981,8781304632,HL
1000380,1171971089,9089699.5,3070362,10632835295,LH
1000381,598503972,2590872,3600464,4551552670,LL
1000382,909262093.7,9609825.167,3648910,11052292469,LL
1000383,1155095536,6181066.75,3228563,4862500571,LL
1000384,974151343.4,8296427.833,3153326,9153968020,LL
1000385,657876680.3,3556091.75,3385960,5733507339,LH
1000386,877831069.4,4193489,3217625,7135258166,LL
1000387,701621947,6579701.75,3144555,9458095952,LL
1000388,500420789,5924773.917,2844050,9280266466,HH
1000389,568378537.2,9534459.083,2987703,10861716406,LL
