행 레이블,평균 : 월_평균_소득_금액,평균 : 지출_총금액
1000522,4232881,7989460952
1000523,3329453,10049517993
1000524,5190668,2625486810
1000525,4028850,9905966205
1000526,3605559,10756598656
1000527,4702393,9052233918
1000528,4368889,8531048393
1000529,4413693,11653188829
1000530,5030681,7280666580
1000531,4816283,9278479146
1000532,5091024,8013827593
1000533,4778830,10212927925
1000534,3051196,8145503695
1000535,3278410,7776968614
1000536,2889126,9328380660
1000537,3219613,10392174143
1000538,3061008,8212665141
1000539,3078789,8623287498
1000540,3614007,6076585244
1000541,3339918,8324708176
1000542,3544381,7510426599
1000543,3737124,5894078104
1000544,3834372,6295428581
1000545,3305755,9094814616
1000546,3331052,8241852774
1000547,3056829,9618880447
1000548,3005087,7964272402
1000549,2727571,5485438347
1000550,3255036,5084160385
1000551,2575486,6254814484
1000552,2920894,17456760912
1000553,2787472,14495370234
1000554,2814896,20593340589
1000555,2864948,14343808522
1000556,2893761,19389940776
1000557,2753827,12729167202
1000558,2760262,10513349629
1000559,4491672,6460444882
1000560,4287389,11125188350
1000561,3335974,9733368113
1000562,3721534,8543882170
1000563,2832051,11497438811
1000564,2770185,12163384486
1000565,2863223,11584445165
1000566,2830993,12675086567
1000567,2999226,9709805041
1000568,2944609,6322655663
1000569,2740966,12285999515
1000570,2736871,15282712729
1000571,2833699,11691716519
1000572,2840925,11353787752
1000573,3740572,8105969884
1000574,4926127,3682667297
1000575,3786450,5058702411
1000576,3647287,7593635248
1000577,3840603,9895934531
1000578,4365810,10496197177
1000579,4057220,9166383581
1000580,3001896,5630484690
1000581,2953535,9751273443
1000582,2697339,14850324905
1000583,2876930,5303985117
1000584,3044295,10485157463
1000585,4241404,6677933517
1000586,3135380,7232456389
1000587,3212865,8107496458
1000588,3310710,9891244819
1000589,3083943,7726529007
1000590,3120504,3392932378
1000591,3050128,10169072523
1000592,3335019,9736925294
1000593,3340964,9742415910
1000594,3569754,5475309202
1000595,4087934,3119487000
1000596,4340846,8789863328
1000597,4349386,8576174723
1000598,3749417,8955643059
1000599,2749833,11970389104
1000600,2736030,10667057052
1000601,2630322,13072519631
1000602,3012591,10389087720
1000603,3116662,11049168866
1000604,2765144,12777046198
1000605,2959253,12783920908
1000606,2930501,9039612369
1000607,4023707,6352453919
1000608,3814756,8012695896
1000609,2978613,10197570502
1000610,2760750,11197766980
1000611,2912737,11625080708
1000612,3177923,5116052101
1000613,3791407,8958721604
1000614,3796457,7445097506
1000615,3694641,7899152878
1000616,3155139,7125413132
1000617,3083339,7450205211
1000618,3246636,6103128867
1000619,3221509,7957257135
1000620,3262702,4596024232
1000621,3248934,7494890752
1000622,3217994,7327811172
1000623,3212805,7003887740
1000624,3275788,6768807453
1000625,3610932,7671042752
1000626,2511342,6232168656
1000627,2944839,8210886939
1000628,2785803,5772093508
1000629,3150787,5588536300
1000630,3219451,8313780017
1000631,2511798,9737182284
1000632,2916703,14029634645
1000633,2935421,6965069075
1000634,3252604,12010788027
1000635,3459457,6641642819
1000636,4067100,4236478336
1000637,3303045,9235454308
1000638,3263169,9985923709
1000639,3653521,6072423535
1000640,3459563,9816644188
1000641,3034690,8747765637
1000642,3074325,7049328076
1000643,2789087,6855398313
1000644,2949264,6089946397
1000645,2777955,4695234783
1000646,2746098,3793000899
1000647,3517835,2853204622
1000648,3690959,7364903364
1000649,4340487,5142330733
1000650,3023920,7054114076
1000651,2881492,6374192931
1000652,3806968,5393446616
1000653,3623980,4698799372
1000654,2910628,5993371229
1000655,2920284,8159186507
1000656,2767559,5617652194
1000657,3545931,1812112959
1000658,2867249,7099025324
1000659,2925179,8352591199
1000660,3477428,10500457520
1000661,2778681,7807111444
1000662,3016388,4682517244
1000663,2386179,7457190755
1000664,2571120,8863253920
1000665,2583028,8889374429
1000666,2583666,6634788195
1000667,3486879,10027994016
1000668,2981003,5193790559
1000669,2778018,4405547983
1000670,2654266,4769772449
1000671,2705380,7288853015
1000672,2747623,6264045182
1000673,2802745,8881351195
1000674,2827243,10410160621
1000675,2946148,8350254805
1000676,2700550,4006820436
1000677,2821117,3881513070
1000678,2664360,8907223564
1000679,3103995,4015621074
1000680,2943165,10445846622
1000681,2582344,10512428061
1000682,2453571,9642857444
1000683,3306110,6201012301
1000684,4109440,3684161696
1000685,3893317,2663224821
1000686,4223985,3011895247
1000687,3338513,5827439048
1000688,3934612,4485751442
1000689,4281256,7506194923
1000690,4420210,7773636543
1000691,4647744,6453227272
1000692,3366946,7872409362
1000693,3173252,8370394821
1000694,3112479,7279439770
1000695,2891946,6237167753
1000696,3349859,6559136982
1000697,3379181,5548728159
1000698,3368092,9024851959
1000699,3884791,9818861350
1000700,4246174,4865468491
1000701,3009610,6258594227
1000702,3289275,8410567221
1000703,3599234,8635845642
1000704,3159576,9636912976
1000705,3473953,5962811532
1000706,3321833,6381255342
1000707,3197907,9391271349
1000708,2820217,7957128587
1000709,3480589,7391652074
1000710,3523564,4581132948
1000711,3504618,5227375146
1000712,3664515,4936725660
1000713,3556077,4938156779
1000714,3449300,6915653153
1000715,3140614,6535172083
1000716,3476922,8268267265
1000717,3721792,6484229116
1000718,3168688,6827734696
1000719,3805293,6351295039
1000720,3862150,3911140623
1000721,3979457,3342105141
1000722,3303092,4763334226
1000723,3524119,3653667262
1000724,3829375,9014763175
1000725,3849397,4032983152
1000726,3571734,7396598126
1000727,3535307,8210398868
1000728,3527808,6783873144
1000729,3431315,6016822556
1000730,3426233,6184181072
1000731,3430571,6409428689
1000732,2602644,7932816994
1000733,3422091,10584414687
1000734,3308099,8675011686
1000735,3394597,12289360509
1000736,3361540,8463486168
1000737,3915219,8779818872
1000738,3901931,8335243496
1000739,4230188,8789580244
1000740,4430521,7915110466
1000741,4660936,9729001821
1000742,4721785,8765407903
1000743,3354656,9425698937
1000744,4043377,6556191087
1000745,4219924,5942492950
1000746,3852056,10474966082
1000747,3676042,8095854592
1000748,3439211,11381947394
1000749,3131103,9949898404
1000750,4807317,9107778546
1000751,4553953,7735913520
1000752,3335113,8434393041
1000753,3989269,7108023142
1000754,4125080,5128535778
1000755,4361226,5876768482
1000756,3729035,9358390341
1000757,3444382,10512117820
1000758,4401381,8183578908
1000759,4232604,8842144394
1000760,4084439,6828103014
1000761,4608573,11034832880
1000762,4507873,6095635702
1000763,4770225,3770615061
1000764,4242042,2613595661
1000765,4301790,3722158123
1000766,3217522,8587858187
1000767,3894688,11023011333
1000768,4021591,8742387032
1000769,3813009,7186047567
1000770,3271064,7248691054
1000771,3385185,5917851105
1000772,3518473,9731143337
1000773,3262597,8355790109
1000774,4198808,6304436477
1000775,4036136,8368881064
1000776,3274087,7887610155
1000777,2755490,6561678176
1000778,3850614,4415750527
1000779,3768063,4096383255
1000780,3254465,7565358393
1000781,3161609,8726998363
1000782,3589877,7945567767
1000783,3886323,9067041898
1000784,2841065,10958120204
1000785,3417679,11156485421
1000786,3355543,9452241935
1000787,3454895,10826560281
1000788,3354591,9897848271
1000789,3025118,6273910827
1000790,3050371,7339853451
1000791,2917588,8368393038
1000792,2951290,6817865418
1000793,2905001,9138182754
1000794,3395917,4331104021
1000795,3474212,8055346542
1000796,2918045,8445224430
1000797,2763542,9564502212
1000798,2871173,8969193617
1000799,3181509,6703000444
1000800,3465140,9236506183
1000801,3510850,10161212462
1000802,3786070,6887309292
1000803,3732768,7053918899
1000804,3367355,10114343131
1000805,3127419,7142426871
1000806,3201334,8482568686
1000807,3051794,8315079373
1000808,2563734,8915215358
1000809,2691335,8312146900
1000810,3101426,11502334928
1000811,3058669,11917249274
1000812,3640750,11779665694
1000813,2778838,9300382664
1000814,3963077,6261823116
1000815,2584714,11911424614
1000816,3374957,9325908678
1000817,3163588,10733150760
1000818,2529260,8812295155
1000819,2792336,7613127477
1000820,2557806,9592764048
1000821,2736756,8695303044
1000822,2944501,6156187302
1000823,2863368,9201004699
1000824,2829783,10319121981
1000825,3660643,9763730523
1000826,3494636,10746043699
1000827,3412908,9144574954
1000828,3429790,7685794624
1000829,2858556,9841763503
1000830,2956699,6971920213
1000831,3414962,10753691505
1000832,3178384,13380858550
1000833,3327774,8792098570
1000834,3153715,10585881852
1000835,4133369,11968865785
1000836,3329448,8989632047
1000837,3392505,11904278499
1000838,2725489,9782109019
1000839,2571832,10677273387
1000840,3434495,6143896990
1000841,2829041,5235601929
1000842,2606532,5850687664
1000843,2943903,9820728595
1000844,4556819,3028308460
1000845,4819617,6096951573
1000846,3503637,5624602991
1000847,6135510,8416310971
1000848,5582223,5873861511
1000849,5583292,6143418092
1000850,5600471,4959090140
1000851,3476567,8186602074
1000852,3790997,6256483039
1000853,4719182,11267328200
1000854,5149189,9228485445
1000855,5310997,6143582919
1000856,3472559,7456560558
1000857,3361275,8880371201
1000858,4617605,6154956693
1000859,3525605,4020494404
1000860,3884933,6684851671
1000861,5434068,4769540076
1000862,5175072,7211693042
1000863,4982997,9526155351
1000864,5759431,7906044939
1000865,5946917,6038597345
1000866,5502231,5940584616
1000867,5262898,4699555069
1000868,2886591,8420279067
1000869,4176099,9453470913
1000870,4603302,8887178993
1000871,5172529,9627591414
1000872,4481103,10372001017
1000873,6135515,8328101942
1000874,3893389,13258023100
1000875,4878187,9921034638
1000876,3397113,6826272695
1000877,3840804,11396971390
1000878,3624321,11786460195
1000879,4312575,8018291315
1000880,4296136,10534261564
