행 레이블,평균 : 당월_매출_금액
1000532,615686566.7
1000533,1201004733
1000534,732685710.4
1000535,621688228.5
1000536,508107142.1
1000537,937436764.8
1000538,404605155.8
1000539,475721511.4
1000540,747091221.4
1000541,890378157.2
1000542,429082891.4
1000543,488823859.7
1000544,925871532.8
1000545,796834724.9
1000546,678018689.6
1000547,539421122
1000548,554328022.5
1000549,320188826.7
1000550,259893113.7
1000551,476212151.1
1000552,778610420.4
1000553,471822243.3
1000554,1374809583
1000555,739133303.3
1000556,649831077.1
1000557,1024808532
1000558,844259745.7
1000559,957533214.9
1000560,1047253312
1000561,792005592.4
1000562,727410874.7
1000563,885709620.8
1000564,812857387.5
1000565,448695321.6
1000566,893705423
1000567,496641632.9
1000568,571218054.6
1000569,1000102103
1000570,401564267.9
1000571,349644621.4
1000572,398953611.2
1000573,1211455787
1000574,1204710862
1000575,1005515692
1000576,1269596808
1000577,903140596.9
1000578,1169443543
1000579,1019907536
1000580,538766952.8
1000581,887876704.5
1000582,855778937.1
1000583,723435682.7
1000584,632926540.7
1000585,345343568.8
1000586,727407290.1
1000587,832802465.7
1000588,1072227642
1000589,591361664.1
1000590,4371704870
1000591,941156589.9
1000592,894336967.9
1000593,895404489.9
1000594,400780134.5
1000595,993982570.2
1000596,443563585.6
1000597,698494162.5
1000598,546040570.2
1000599,540445023.7
1000600,563753967.2
1000601,231039952
1000602,540439017.5
1000603,397806463.5
1000604,554346375.7
1000605,1433101853
1000606,648568172.1
1000607,771764397.2
1000608,1363821586
1000609,666941704.7
1000610,493372113
1000611,785900644.2
1000612,315622041.6
1000613,758928273.5
1000614,1026102578
1000615,809848778.3
1000616,421689836.5
1000617,598240911.5
1000618,621911456.1
1000619,981633854.8
1000620,598306261.6
1000621,321346789.8
1000622,557004318
1000623,552040719.3
1000624,815703944.5
1000625,1081748121
1000626,1551515847
1000627,1227327054
1000628,622600725.9
1000629,623575374.9
1000630,385678919.4
1000631,1455023343
1000632,1071325830
1000633,671502741
1000634,799170202
1000635,587196986.6
1000636,1160790228
1000637,757209653.9
1000638,941355776.2
1000639,636983895
1000640,431961710.8
1000641,1572778114
1000642,1550015520
1000643,2098640124
1000644,2277575927
1000645,250254606
1000646,232127799.9
1000647,192512430.9
1000648,998032737.2
1000649,218636121.5
1000650,897097367.2
1000651,929215234.9
1000652,268036902.7
1000653,558603251.8
1000654,1973236112
1000655,1042444565
1000656,957909298.7
1000657,138850979.7
1000658,623191527.4
1000659,732723835
1000660,900956715
1000661,535160276.3
1000662,177833534.6
1000663,527679602.9
1000664,677100484.2
1000665,508265558.6
1000666,510330174.6
1000667,787557014.3
1000668,1793409891
1000669,5341002997
1000670,5327397880
1000671,1719793664
1000672,934761878.5
1000673,847544706.9
1000674,655488997.8
1000675,552942171.2
1000676,419523965.7
1000677,281787834.8
1000678,1261229373
1000679,834862256.6
1000680,1156967584
1000681,757132612.4
1000682,4980779581
1000683,655156328.9
1000684,1874667853
1000685,1703610631
1000686,2323649148
1000687,1638446730
1000688,822883769.6
1000689,954720904.5
1000690,612911774
1000691,1289842312
1000692,714622820.1
1000693,1330977293
1000694,1970077163
1000695,3105754289
